# Team Name,Last 5 Form (W/D/L),Goals Scored (last 5),Goals Conceded (last 5),League Position,Home/Away
# Form: W=Win, D=Draw, L=Loss (e.g., W,W,D,L,W)
# Example: Arsenal,W,W,D,W,W,12,5,2,Premier League,Home

# Instructions:
# 1. Go to FBref.com, Sofascore.com, or similar stats site
# 2. Find the team's last 5 matches
# 3. Record: W (win), D (draw), or L (loss) for each match
# 4. Count total goals scored and conceded in those 5 matches
# 5. Add league position if available
# 6. Specify if this is Home or Away team

# Format: TeamName,Form1,Form2,Form3,Form4,Form5,GoalsScored,GoalsConceded,LeaguePosition,League,HomeAway

# Add your team data below (one line per team):
Arsenal,W,W,D,W,L,12,5,2,Premier League,Home
St Etienne,WLLWD,5,5,0,Unknown,Home
Red Star,LDDWL,4,6,0,Unknown,Home
Dunkerque,DLLWW,5,5,0,Unknown,Home
Pau FC,WWDLD,6,4,0,Unknown,Home
Guingamp,DLWWW,7,3,0,Unknown,Home
Annecy,DWWWL,7,3,0,Unknown,Home
Montpellier,LWWLL,4,6,0,Unknown,Home
Rodez,WDWDD,7,3,0,Unknown,Home
Grenoble,DWDLL,4,6,0,Unknown,Home
Nancy,WDLLW,5,5,0,Unknown,Home
Boulogne,LWDWL,5,5,0,Unknown,Home
Clermont,LLLLW,2,8,0,Unknown,Home
Amiens,WLDLL,3,7,0,Unknown,Home
Laval,DLDLL,2,8,0,Unknown,Home
Bastia,DDLWW,6,4,0,Unknown,Home
Dijon,WDDWD,7,3,0,Unknown,Home
Rouen,LDDWW,6,4,0,Unknown,Home
Sochaux,DDWWW,8,2,0,Unknown,Home
Orleans,DWLLW,5,5,0,Unknown,Home
Versailles,LWWLL,4,6,0,Unknown,Home
Le Puy-en-Velay,LWWLW,6,4,0,Unknown,Home
Fleury-Merogis,LWWLD,5,5,0,Unknown,Home
Concarneau,WLDDD,5,5,0,Unknown,Home
Caen,WLDDD,5,5,0,Unknown,Home
Aubagne,LLDWD,4,6,0,Unknown,Home
Villefranche,WWWLD,7,3,0,Unknown,Home
Valenciennes,WLLWL,4,6,0,Unknown,Home
Paris 13 Atl.,LLLDD,2,8,0,Unknown,Home
Chateauroux,DLDLD,3,7,0,Unknown,Home
Bourg en Bresse,WWDLW,7,3,0,Unknown,Home
Quevilly Rouen,LDDLL,2,8,0,Unknown,Home
Stade Briochin,DDDLD,4,6,0,Unknown,Home
Bayern Munich,WDLWW,7,3,0,Unknown,Home
Dortmund,WWWWW,10,0,0,Unknown,Home
Hoffenheim,LWWWW,8,2,0,Unknown,Home
RB Leipzig,WLDWL,5,5,0,Unknown,Home
Stuttgart,LWWDW,7,3,0,Unknown,Home
Bayer Leverkusen,DWWLL,5,5,0,Unknown,Home
Freiburg,WLWDL,5,5,0,Unknown,Home
Eintracht Frankfurt,DLLDL,2,8,0,Unknown,Home
Union Berlin,DLLDD,3,7,0,Unknown,Home
FC Koln,LWLWL,4,6,0,Unknown,Home
Hamburger SV,WDDDL,5,5,0,Unknown,Home
B. Monchengladbach,DDLDL,3,7,0,Unknown,Home
Augsburg,LWWDD,6,4,0,Unknown,Home
Mainz,WWWLW,8,2,0,Unknown,Home
Wolfsburg,LLLDW,3,7,0,Unknown,Home
Werder Bremen,LDLLD,2,8,0,Unknown,Home
St. Pauli,WLDDL,4,6,0,Unknown,Home
Heidenheim,LLLDL,1,9,0,Unknown,Home
Darmstadt,WDWDD,7,3,0,Unknown,Home
Schalke,DLDDL,3,7,0,Unknown,Home
Paderborn,WLWLD,5,5,0,Unknown,Home
Elversberg,LWDLD,4,6,0,Unknown,Home
Hannover,WWWLL,6,4,0,Unknown,Home
Hertha Berlin,WDDDD,6,4,0,Unknown,Home
Kaiserslautern,LLDWL,3,7,0,Unknown,Home
Bochum,DWDDD,6,4,0,Unknown,Home
Karlsruher SC,DLDWD,5,5,0,Unknown,Home
Nurnberg,LDLWW,5,5,0,Unknown,Home
Arminia Bielefeld,WDDLD,5,5,0,Unknown,Home
Holstein Kiel,LLDWW,5,5,0,Unknown,Home
Dusseldorf,DWLWW,7,3,0,Unknown,Home
Braunschweig,LWDLW,5,5,0,Unknown,Home
Magdeburg,WLLWW,6,4,0,Unknown,Home
Preussen Munster,DDLLD,3,7,0,Unknown,Home
SG Dynamo Dresden,DDWWL,6,4,0,Unknown,Home
